Site,sitetype,Scientific name,Present,Common Name
K,Garden,Leptotila verreauxi,1,White-tipped Dove
L,Scrub,Leptotila verreauxi,0,White-tipped Dove
M,Garden,Leptotila verreauxi,1,White-tipped Dove
N,Garden,Leptotila verreauxi,0,White-tipped Dove
O,Garden,Leptotila verreauxi,1,White-tipped Dove
P,Forest,Leptotila verreauxi,1,White-tipped Dove
Q,Garden,Leptotila verreauxi,1,White-tipped Dove
R,Garden,Leptotila verreauxi,0,White-tipped Dove
S,Scrub,Leptotila verreauxi,1,White-tipped Dove
T,Forest,Leptotila verreauxi,0,White-tipped Dove
U,Garden,Leptotila verreauxi,1,White-tipped Dove
V,Garden,Leptotila verreauxi,1,White-tipped Dove
X,Garden,Leptotila verreauxi,1,White-tipped Dove
Y,Garden,Leptotila verreauxi,1,White-tipped Dove
Z,Scrub,Leptotila verreauxi,1,White-tipped Dove
AA,Garden,Leptotila verreauxi,0,White-tipped Dove
BB,Scrub,Leptotila verreauxi,0,White-tipped Dove
CC,Garden,Leptotila verreauxi,1,White-tipped Dove
DD,Garden,Leptotila verreauxi,1,White-tipped Dove
EE,Scrub,Leptotila verreauxi,0,White-tipped Dove
FF,Garden,Leptotila verreauxi,0,White-tipped Dove
A,Garden,Mimus gilvus,1,Tropical Mockingbird
B,Garden,Mimus gilvus,1,Tropical Mockingbird
C,Forest,Mimus gilvus,1,Tropical Mockingbird
D,Garden,Mimus gilvus,1,Tropical Mockingbird
E,Scrub,Mimus gilvus,1,Tropical Mockingbird
F,Scrub,Mimus gilvus,1,Tropical Mockingbird
G,Forest,Mimus gilvus,1,Tropical Mockingbird
H,Forest,Mimus gilvus,1,Tropical Mockingbird
I,Forest,Mimus gilvus,1,Tropical Mockingbird
J,Garden,Mimus gilvus,1,Tropical Mockingbird
K,Garden,Mimus gilvus,1,Tropical Mockingbird
L,Scrub,Mimus gilvus,1,Tropical Mockingbird
M,Garden,Mimus gilvus,1,Tropical Mockingbird
N,Garden,Mimus gilvus,1,Tropical Mockingbird
O,Garden,Mimus gilvus,1,Tropical Mockingbird
P,Forest,Mimus gilvus,1,Tropical Mockingbird
Q,Garden,Mimus gilvus,1,Tropical Mockingbird
R,Garden,Mimus gilvus,1,Tropical Mockingbird
S,Scrub,Mimus gilvus,1,Tropical Mockingbird
T,Forest,Mimus gilvus,1,Tropical Mockingbird
U,Garden,Mimus gilvus,1,Tropical Mockingbird
V,Garden,Mimus gilvus,1,Tropical Mockingbird
X,Garden,Mimus gilvus,1,Tropical Mockingbird
Y,Garden,Mimus gilvus,1,Tropical Mockingbird
Z,Scrub,Mimus gilvus,1,Tropical Mockingbird
AA,Garden,Mimus gilvus,1,Tropical Mockingbird
BB,Scrub,Mimus gilvus,1,Tropical Mockingbird
CC,Garden,Mimus gilvus,1,Tropical Mockingbird
DD,Garden,Mimus gilvus,1,Tropical Mockingbird
EE,Scrub,Mimus gilvus,1,Tropical Mockingbird
FF,Garden,Mimus gilvus,1,Tropical Mockingbird
A,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
B,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
C,Forest,Patagioenas corensis,0,Bare-eyed Pigeon
D,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
E,Scrub,Patagioenas corensis,0,Bare-eyed Pigeon
F,Scrub,Patagioenas corensis,1,Bare-eyed Pigeon
G,Forest,Patagioenas corensis,1,Bare-eyed Pigeon
H,Forest,Patagioenas corensis,1,Bare-eyed Pigeon
I,Forest,Patagioenas corensis,1,Bare-eyed Pigeon
J,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
K,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
L,Scrub,Patagioenas corensis,0,Bare-eyed Pigeon
M,Garden,Patagioenas corensis,0,Bare-eyed Pigeon
N,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
O,Garden,Patagioenas corensis,0,Bare-eyed Pigeon
P,Forest,Patagioenas corensis,1,Bare-eyed Pigeon
Q,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
R,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
S,Scrub,Patagioenas corensis,0,Bare-eyed Pigeon
T,Forest,Patagioenas corensis,1,Bare-eyed Pigeon
U,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
V,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
X,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
Y,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
Z,Scrub,Patagioenas corensis,0,Bare-eyed Pigeon
AA,Garden,Patagioenas corensis,0,Bare-eyed Pigeon
BB,Scrub,Patagioenas corensis,0,Bare-eyed Pigeon
CC,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
DD,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
EE,Scrub,Patagioenas corensis,0,Bare-eyed Pigeon
FF,Garden,Patagioenas corensis,1,Bare-eyed Pigeon
A,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
B,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
C,Forest,Patagioenas squamosa,0,Scaly-naped Pigeon
D,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
E,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
F,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
G,Forest,Patagioenas squamosa,0,Scaly-naped Pigeon
H,Forest,Patagioenas squamosa,0,Scaly-naped Pigeon
I,Forest,Patagioenas squamosa,1,Scaly-naped Pigeon
J,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
K,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
L,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
M,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
N,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
O,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
P,Forest,Patagioenas squamosa,0,Scaly-naped Pigeon
Q,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
R,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
S,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
T,Forest,Patagioenas squamosa,0,Scaly-naped Pigeon
U,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
V,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
X,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
Y,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
Z,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
AA,Garden,Patagioenas squamosa,1,Scaly-naped Pigeon
BB,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
CC,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
DD,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
EE,Scrub,Patagioenas squamosa,0,Scaly-naped Pigeon
FF,Garden,Patagioenas squamosa,0,Scaly-naped Pigeon
A,Garden,Quiscalus lugubris,0,Carib Grackle
B,Garden,Quiscalus lugubris,0,Carib Grackle
C,Forest,Quiscalus lugubris,0,Carib Grackle
D,Garden,Quiscalus lugubris,0,Carib Grackle
E,Scrub,Quiscalus lugubris,0,Carib Grackle
F,Scrub,Quiscalus lugubris,0,Carib Grackle
G,Forest,Quiscalus lugubris,0,Carib Grackle
H,Forest,Quiscalus lugubris,0,Carib Grackle
I,Forest,Quiscalus lugubris,0,Carib Grackle
J,Garden,Quiscalus lugubris,0,Carib Grackle
K,Garden,Quiscalus lugubris,0,Carib Grackle
L,Scrub,Quiscalus lugubris,0,Carib Grackle
M,Garden,Quiscalus lugubris,0,Carib Grackle
N,Garden,Quiscalus lugubris,0,Carib Grackle
O,Garden,Quiscalus lugubris,0,Carib Grackle
P,Forest,Quiscalus lugubris,0,Carib Grackle
Q,Garden,Quiscalus lugubris,0,Carib Grackle
R,Garden,Quiscalus lugubris,0,Carib Grackle
S,Scrub,Quiscalus lugubris,1,Carib Grackle
T,Forest,Quiscalus lugubris,0,Carib Grackle
U,Garden,Quiscalus lugubris,0,Carib Grackle
V,Garden,Quiscalus lugubris,0,Carib Grackle
X,Garden,Quiscalus lugubris,0,Carib Grackle
Y,Garden,Quiscalus lugubris,0,Carib Grackle
Z,Scrub,Quiscalus lugubris,0,Carib Grackle
AA,Garden,Quiscalus lugubris,0,Carib Grackle
BB,Scrub,Quiscalus lugubris,0,Carib Grackle
CC,Garden,Quiscalus lugubris,0,Carib Grackle
DD,Garden,Quiscalus lugubris,0,Carib Grackle
EE,Scrub,Quiscalus lugubris,0,Carib Grackle
FF,Garden,Quiscalus lugubris,0,Carib Grackle
A,Garden,Tiaris bicolor,1,Black-faced Grassquit
B,Garden,Tiaris bicolor,1,Black-faced Grassquit
C,Forest,Tiaris bicolor,0,Black-faced Grassquit
D,Garden,Tiaris bicolor,0,Black-faced Grassquit
E,Scrub,Tiaris bicolor,1,Black-faced Grassquit
F,Scrub,Tiaris bicolor,1,Black-faced Grassquit
G,Forest,Tiaris bicolor,0,Black-faced Grassquit
H,Forest,Tiaris bicolor,1,Black-faced Grassquit
I,Forest,Tiaris bicolor,1,Black-faced Grassquit
J,Garden,Tiaris bicolor,1,Black-faced Grassquit
K,Garden,Tiaris bicolor,1,Black-faced Grassquit
L,Scrub,Tiaris bicolor,0,Black-faced Grassquit
M,Garden,Tiaris bicolor,1,Black-faced Grassquit
N,Garden,Tiaris bicolor,1,Black-faced Grassquit
O,Garden,Tiaris bicolor,1,Black-faced Grassquit
P,Forest,Tiaris bicolor,1,Black-faced Grassquit
Q,Garden,Tiaris bicolor,0,Black-faced Grassquit
R,Garden,Tiaris bicolor,1,Black-faced Grassquit
S,Scrub,Tiaris bicolor,1,Black-faced Grassquit
T,Forest,Tiaris bicolor,0,Black-faced Grassquit
U,Garden,Tiaris bicolor,1,Black-faced Grassquit
V,Garden,Tiaris bicolor,1,Black-faced Grassquit
X,Garden,Tiaris bicolor,1,Black-faced Grassquit
Y,Garden,Tiaris bicolor,1,Black-faced Grassquit
Z,Scrub,Tiaris bicolor,1,Black-faced Grassquit
AA,Garden,Tiaris bicolor,1,Black-faced Grassquit
BB,Scrub,Tiaris bicolor,0,Black-faced Grassquit
CC,Garden,Tiaris bicolor,1,Black-faced Grassquit
DD,Garden,Tiaris bicolor,0,Black-faced Grassquit
EE,Scrub,Tiaris bicolor,1,Black-faced Grassquit
FF,Garden,Tiaris bicolor,0,Black-faced Grassquit
A,Garden,Tyrannus dominicensis,0,Grey Kingbird
B,Garden,Tyrannus dominicensis,0,Grey Kingbird
C,Forest,Tyrannus dominicensis,0,Grey Kingbird
D,Garden,Tyrannus dominicensis,1,Grey Kingbird
E,Scrub,Tyrannus dominicensis,0,Grey Kingbird
F,Scrub,Tyrannus dominicensis,0,Grey Kingbird
G,Forest,Tyrannus dominicensis,0,Grey Kingbird
H,Forest,Tyrannus dominicensis,0,Grey Kingbird
I,Forest,Tyrannus dominicensis,0,Grey Kingbird
J,Garden,Tyrannus dominicensis,1,Grey Kingbird
K,Garden,Tyrannus dominicensis,0,Grey Kingbird
L,Scrub,Tyrannus dominicensis,0,Grey Kingbird
M,Garden,Tyrannus dominicensis,0,Grey Kingbird
N,Garden,Tyrannus dominicensis,1,Grey Kingbird
O,Garden,Tyrannus dominicensis,1,Grey Kingbird
P,Forest,Tyrannus dominicensis,0,Grey Kingbird
Q,Garden,Tyrannus dominicensis,0,Grey Kingbird
R,Garden,Tyrannus dominicensis,1,Grey Kingbird
S,Scrub,Tyrannus dominicensis,0,Grey Kingbird
T,Forest,Tyrannus dominicensis,0,Grey Kingbird
U,Garden,Tyrannus dominicensis,0,Grey Kingbird
V,Garden,Tyrannus dominicensis,0,Grey Kingbird
X,Garden,Tyrannus dominicensis,0,Grey Kingbird
Y,Garden,Tyrannus dominicensis,0,Grey Kingbird
Z,Scrub,Tyrannus dominicensis,0,Grey Kingbird
AA,Garden,Tyrannus dominicensis,0,Grey Kingbird
BB,Scrub,Tyrannus dominicensis,0,Grey Kingbird
CC,Garden,Tyrannus dominicensis,0,Grey Kingbird
DD,Garden,Tyrannus dominicensis,0,Grey Kingbird
EE,Scrub,Tyrannus dominicensis,0,Grey Kingbird
FF,Garden,Tyrannus dominicensis,0,Grey Kingbird
A,Garden,Zenaida auriculata,1,Eared Dove
B,Garden,Zenaida auriculata,0,Eared Dove
C,Forest,Zenaida auriculata,0,Eared Dove
D,Garden,Zenaida auriculata,1,Eared Dove
E,Scrub,Zenaida auriculata,0,Eared Dove
F,Scrub,Zenaida auriculata,0,Eared Dove
G,Forest,Zenaida auriculata,0,Eared Dove
H,Forest,Zenaida auriculata,0,Eared Dove
I,Forest,Zenaida auriculata,0,Eared Dove
J,Garden,Zenaida auriculata,0,Eared Dove
K,Garden,Zenaida auriculata,0,Eared Dove
L,Scrub,Zenaida auriculata,0,Eared Dove
M,Garden,Zenaida auriculata,0,Eared Dove
N,Garden,Zenaida auriculata,0,Eared Dove
O,Garden,Zenaida auriculata,0,Eared Dove
P,Forest,Zenaida auriculata,0,Eared Dove
Q,Garden,Zenaida auriculata,0,Eared Dove
R,Garden,Zenaida auriculata,1,Eared Dove
S,Scrub,Zenaida auriculata,0,Eared Dove
T,Forest,Zenaida auriculata,0,Eared Dove
U,Garden,Zenaida auriculata,0,Eared Dove
V,Garden,Zenaida auriculata,0,Eared Dove
X,Garden,Zenaida auriculata,0,Eared Dove
Y,Garden,Zenaida auriculata,0,Eared Dove
Z,Scrub,Zenaida auriculata,0,Eared Dove
AA,Garden,Zenaida auriculata,0,Eared Dove
BB,Scrub,Zenaida auriculata,0,Eared Dove
CC,Garden,Zenaida auriculata,0,Eared Dove
DD,Garden,Zenaida auriculata,1,Eared Dove
EE,Scrub,Zenaida auriculata,0,Eared Dove
FF,Garden,Zenaida auriculata,1,Eared Dove
A,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
B,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
C,Forest,Zonotrichia capensis,1,Rufous-collared Sparrow
D,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
E,Scrub,Zonotrichia capensis,0,Rufous-collared Sparrow
F,Scrub,Zonotrichia capensis,1,Rufous-collared Sparrow
G,Forest,Zonotrichia capensis,0,Rufous-collared Sparrow
H,Forest,Zonotrichia capensis,0,Rufous-collared Sparrow
I,Forest,Zonotrichia capensis,0,Rufous-collared Sparrow
J,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
K,Garden,Zonotrichia capensis,1,Rufous-collared Sparrow
L,Scrub,Zonotrichia capensis,1,Rufous-collared Sparrow
M,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
N,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
O,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
P,Forest,Zonotrichia capensis,0,Rufous-collared Sparrow
Q,Garden,Zonotrichia capensis,1,Rufous-collared Sparrow
R,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
S,Scrub,Zonotrichia capensis,1,Rufous-collared Sparrow
T,Forest,Zonotrichia capensis,0,Rufous-collared Sparrow
U,Garden,Zonotrichia capensis,1,Rufous-collared Sparrow
V,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
X,Garden,Zonotrichia capensis,1,Rufous-collared Sparrow
Y,Garden,Zonotrichia capensis,1,Rufous-collared Sparrow
Z,Scrub,Zonotrichia capensis,1,Rufous-collared Sparrow
AA,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
BB,Scrub,Zonotrichia capensis,1,Rufous-collared Sparrow
CC,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
DD,Garden,Zonotrichia capensis,0,Rufous-collared Sparrow
EE,Scrub,Zonotrichia capensis,1,Rufous-collared Sparrow
FF,Garden,Zonotrichia capensis,1,Rufous-collared Sparrow
