StudyArea,Location,Species,Detections,TrapNights
Morris Park,Camera 4,Dog,22,40.777
Morris Park,Center,Dog,2,14.775
Waterloo Mill W,Camera 2,Dog,1,25.794
Waterloo Mill W,Camera 4,Dog,1,34.969
West Fairmont,Camera 5,Dog,1,46
Wissahickon,Camera 3,Dog,1,34.101
Wissahickon,Camera 4,Dog,1,21.191
Wissahickon,Camera 5,Dog,1,40.703
Wissahickon,Camera 6,Dog,1,46
East Fairmount,Camera 2,Domestic cat,1,32.79
East Fairmount,Camera 5,Domestic cat,2,46.154
East Fairmount,Center,Domestic cat,4,16.783
Gordon Natural,Camera 6,Domestic cat,1,54
Morris Park,Camera 2,Domestic cat,1,28.21
Morris Park,Camera 3,Domestic cat,11,57.322
Morris Park,Camera 5,Domestic cat,21,46
West Fairmont,Camera 2,Domestic cat,1,44.73
East Fairmount,Camera 3,Eastern Chipmunk,3,46.219
East Fairmount,Camera 4,Eastern Chipmunk,22,40.845
East Fairmount,Center,Eastern Chipmunk,5,16.783
Haverford Reserve,Camera 2,Eastern Chipmunk,15,47.615
Haverford Reserve,Camera 5,Eastern Chipmunk,1,34.984
Haverford Reserve,Camera 6,Eastern Chipmunk,2,54
Morris Park,Camera 3,Eastern Chipmunk,23,57.322
Two Gander Farm,Camera 2,Eastern Chipmunk,1,41.849
Waterloo Mill E,Camera 3,Eastern Chipmunk,2,35.07
Waterloo Mill W,Camera 3,Eastern Chipmunk,19,53.111
Waterloo Mill W,Camera 5,Eastern Chipmunk,4,34.806
West Fairmont,Camera 2,Eastern Chipmunk,5,44.73
West Fairmont,Center,Eastern Chipmunk,5,12.031
Wissahickon,Camera 4,Eastern Chipmunk,18,21.191
Wissahickon,Camera 5,Eastern Chipmunk,121,40.703
East Fairmount,Camera 3,Eastern Gray Squirrel,51,46.219
East Fairmount,Camera 4,Eastern Gray Squirrel,118,40.845
East Fairmount,Camera 5,Eastern Gray Squirrel,60,46.154
East Fairmount,Center,Eastern Gray Squirrel,4,16.783
Gordon Natural,Camera 2,Eastern Gray Squirrel,15,41.872
Gordon Natural,Camera 4,Eastern Gray Squirrel,93,34.965
Gordon Natural,Camera 6,Eastern Gray Squirrel,34,54
Harmony Hill,Camera 3,Eastern Gray Squirrel,4,21.901
Harmony Hill,Camera 4,Eastern Gray Squirrel,5,34.974
Harmony Hill,Center,Eastern Gray Squirrel,3,43.713
Haverford Reserve,Camera 2,Eastern Gray Squirrel,25,47.615
Haverford Reserve,Camera 3,Eastern Gray Squirrel,1,17.143
Haverford Reserve,Camera 5,Eastern Gray Squirrel,6,34.984
Haverford Reserve,Camera 6,Eastern Gray Squirrel,132,54
Haverford Reserve,Center,Eastern Gray Squirrel,2,17.938
Morris Park,Camera 2,Eastern Gray Squirrel,3,28.21
Morris Park,Camera 3,Eastern Gray Squirrel,79,57.322
Morris Park,Camera 4,Eastern Gray Squirrel,26,40.777
Morris Park,Camera 5,Eastern Gray Squirrel,134,46
Morris Park,Center,Eastern Gray Squirrel,12,14.775
Two Gander Farm,Camera 2,Eastern Gray Squirrel,12,41.849
Two Gander Farm,Camera 3,Eastern Gray Squirrel,2,24.013
Two Gander Farm,Camera 4,Eastern Gray Squirrel,1,32.983
Two Gander Farm,Center,Eastern Gray Squirrel,2,21.478
Waterloo Mill E,Camera 3,Eastern Gray Squirrel,1,35.07
Waterloo Mill E,Camera 4,Eastern Gray Squirrel,2,17.919
Waterloo Mill E,Camera 6,Eastern Gray Squirrel,1,54
Waterloo Mill E,Center,Eastern Gray Squirrel,3,25.901
Waterloo Mill W,Camera 2,Eastern Gray Squirrel,7,25.794
Waterloo Mill W,Camera 3,Eastern Gray Squirrel,8,53.111
Waterloo Mill W,Camera 5,Eastern Gray Squirrel,79,34.806
West Fairmont,Camera 2,Eastern Gray Squirrel,10,44.73
West Fairmont,Camera 4,Eastern Gray Squirrel,14,40.849
West Fairmont,Camera 5,Eastern Gray Squirrel,39,46
